name,description,body,price,discount,inventory,category,type,images,tags
iPhone 17 Air,Latest iPhone model with ultra-thin design,"<p>The iPhone 17 Air represents the pinnacle of smartphone technology with its revolutionary ultra-thin design. This device combines cutting-edge performance with elegant aesthetics.</p>",999,50,100,Electronics,Smartphone,"iphone17-1.jpg,iphone17-2.jpg,iphone17-3.jpg","apple,smartphone,electronics,mobile,ios"
Samsung Galaxy S25,Flagship Android smartphone with advanced camera,"<p>Experience the future of mobile photography with the Samsung Galaxy S25. Featuring a 200MP main camera and AI-powered photo enhancement.</p>",899,0,150,Electronics,Smartphone,"galaxy-s25-1.jpg,galaxy-s25-2.jpg","samsung,android,smartphone,camera,mobile"
MacBook Pro 16,High-performance laptop for professionals,"<p>The MacBook Pro 16-inch with M3 Max chip delivers unprecedented performance for creative professionals and developers.</p>",2499,100,50,Electronics,Laptop,"macbook-pro-1.jpg,macbook-pro-2.jpg,macbook-pro-3.jpg","apple,laptop,macbook,professional,m3"
Storage Chest,Wooden storage chest for home organization,"<p>Beautiful handcrafted wooden storage chest perfect for organizing your home. Made from solid oak with traditional craftsmanship.</p>",299,25,75,Furniture,Storage,"chest-1.jpg,chest-2.jpg","furniture,storage,wood,home,organization"
Gaming Monitor 32,Ultra-wide gaming monitor with 144Hz refresh rate,"<p>Immerse yourself in gaming with this 32-inch ultra-wide monitor featuring 144Hz refresh rate and HDR support.</p>",449,0,80,Electronics,Monitor,"monitor-1.jpg,monitor-2.jpg,monitor-3.jpg","gaming,monitor,electronics,144hz,ultrawide"
Office Chair,Ergonomic office chair with lumbar support,"<p>Comfortable ergonomic office chair designed for long hours of work. Features adjustable lumbar support and breathable mesh.</p>",199,15,120,Furniture,Chair,"chair-1.jpg,chair-2.jpg","furniture,office,chair,ergonomic,comfort"
Wireless Headphones,Premium noise-canceling wireless headphones,"<p>Experience superior sound quality with these premium wireless headphones featuring active noise cancellation and 30-hour battery life.</p>",249,20,200,Electronics,Audio,"headphones-1.jpg,headphones-2.jpg,headphones-3.jpg","audio,headphones,wireless,noise-canceling,music"
Coffee Table,Modern glass coffee table for living room,"<p>Sleek modern coffee table with tempered glass top and chrome legs. Perfect centerpiece for contemporary living spaces.</p>",399,50,40,Furniture,Table,"table-1.jpg,table-2.jpg","furniture,table,modern,glass,living room"
Tablet Pro 12,Professional tablet with stylus support,"<p>Powerful tablet designed for creative professionals. Includes pressure-sensitive stylus and professional-grade display.</p>",799,0,90,Electronics,Tablet,"tablet-1.jpg,tablet-2.jpg,tablet-3.jpg","tablet,stylus,professional,creative,portable"
LED Desk Lamp,Adjustable LED desk lamp with wireless charging,"<p>Smart LED desk lamp with adjustable brightness and color temperature. Features built-in wireless charging pad for your devices.</p>",89,10,250,Electronics,Lighting,"lamp-1.jpg,lamp-2.jpg","lighting,led,desk,wireless charging,smart"